"ID,Name,Task Name,Start Date,End Date,Duration,Progress (%),Dependencies,Resources"
"1,Research & Planning,Research & Planning,Jan 10, 2024,Jan 20, 2024,10 days,100%,-,Team Lead"
"2,Content Creation (Articles & Stories),Content Creation (Articles & Stories),Jan 22, 2024,Feb 15, 2024,25 days,50%,1FS,Writers, Editors"
"3,Website Development,Website Development,Feb 05, 2024,Mar 10, 2024,30 days,35%,1FS,Developers"
"4,UI/UX Design,UI/UX Design,Feb 15, 2024,Mar 05, 2024,20 days,50%,3FS,Designers"
"5,Content Upload & SEO Optimization,Content Upload & SEO Optimization,Mar 08, 2024,Mar 25, 2024,15 days,20%,2FS, 4FS,Content Team, SEO Expert"
"6,Social Media & Marketing Setup,Social Media & Marketing Setup,Mar 20, 2024,Apr 10, 2024,20 days,10%,5FS,Marketing Team"
"7,Beta Testing,Beta Testing,Apr 05, 2024,Apr 20, 2024,15 days,0%,3FS, 5FS,Testers, Developers"
"8,User Feedback & Improvements,User Feedback & Improvements,Apr 21, 2024,May 10, 2024,20 days,0%,7FS,Dev & UX Team"
"9,Launch Preparation,Launch Preparation,May 05, 2024,May 20, 2024,15 days,0%,8FS,Team Lead, Marketing"
"10,Official Launch,Official Launch,May 25, 2024,May 25, 2024,1 day,0%,9FS,All Members"
"11,Post-Launch Optimization & Scaling,Post-Launch Optimization & Scaling,Jun 01, 2024,Jul 15, 2024,45 days,0%,10FS,Dev & Marketing"